Timestamp,ID,IsExtended,DLC,Data
1754422220.032789,0x26,False,2,C4C0
1754422220.0477734,0x26,False,2,C4C0
1754422220.0636294,0x26,False,2,C4C0
1754422220.0795324,0x26,False,2,C4C0
1754422220.0940852,0x26,False,2,C4C0
1754422220.1097348,0x26,False,2,C4C0
1754422220.1244712,0x26,False,2,C4C0
1754422220.1396804,0x26,False,2,C4C0
1754422220.1560762,0x26,False,2,C4C0
1754422220.1714103,0x26,False,2,C4C0
1754422220.18687,0x26,False,2,C4C0
1754422220.1869376,0x99,False,1,00
1754422220.2022388,0x26,False,2,C4C0
1754422220.2207344,0x26,False,2,C4C0
1754422220.2320304,0x26,False,2,C4C0
1754422220.2472806,0x26,False,2,C4C0
1754422220.2642705,0x26,False,2,C4C0
1754422220.2772748,0x26,False,2,C4C0
1754422220.2925909,0x26,False,2,C4C0
1754422220.3087397,0x26,False,2,C4C0
1754422220.3238847,0x26,False,2,C4C0
1754422220.3386884,0x26,False,2,C4C0
1754422220.353896,0x26,False,2,C4C0
1754422220.369503,0x26,False,2,C4C0
1754422220.3856413,0x26,False,2,C4C0
1754422220.4013515,0x26,False,2,C4C0
1754422220.4165347,0x26,False,2,C4C0
1754422220.4326649,0x26,False,2,C4C0
1754422220.44818,0x26,False,2,C4C0
1754422220.4633574,0x26,False,2,C4C0
1754422220.479145,0x26,False,2,C4C0
1754422220.4939833,0x26,False,2,C4C0
1754422220.5089421,0x26,False,2,C4C0
1754422220.5246427,0x26,False,2,C4C0
1754422220.5407703,0x26,False,2,C4C0
1754422220.556357,0x26,False,2,C4C0
1754422220.5714812,0x26,False,2,C4C0
1754422220.5887127,0x26,False,2,C4C0
1754422220.6033807,0x26,False,2,C4C0
1754422220.619139,0x26,False,2,C4C0
1754422220.6333988,0x26,False,2,C4C0
1754422220.6491272,0x26,False,2,C4C0
1754422220.664208,0x26,False,2,C4C0
1754422220.6800015,0x26,False,2,C4C0
1754422220.6943607,0x26,False,2,C4C0
1754422220.7095323,0x26,False,2,C4C0
1754422220.7249951,0x26,False,2,C4C0
1754422220.7250652,0x99,False,1,00
